S.no.,Yoga Poses,Levels of Difficulty,Health Benefits,Joints Targeted,Other Benefits
1,Eagle,Intermediate,"Balance, Focus, Shoulders, Hips","Hips, Shoulders, Knees, Ankles","Arthritis, Balance Disorders, Anxiety, Stress"
2,Tree,Intermediate,"Balance, Stability, Strengthning, Leg Muscles","Ankles, Knees, Hips, Shoulders","Balance Disorders, Anxiety, Stress, Concentration"
3,Chair,Intermediate,"Strengthening, Lower body muscles, Posture","Knees, Hips, Spine, Shoulders","Posture Issues, Circulatory Disorders, Fatigue"
4,Standing Forward Bend,Intermediate,"Relieves tension, Spine, hamstrings, Mind Calming","Hips, Hamstrings, Spine","Anxiety, Stress, Lower Back Pain, Fatigue"
5,Wide-Legged Forward Bend,Basic,"Stretching, Inner thighs, Hamstrings, Digestion","Hips, Hamstrings, Spine","Depression, Anxiety, Digestive Disorders, Stress"
6,Dolphin,Intermediate/Advanced,"Strengthening, Shoulders, Arms, Mild depression, Stress","Shoulders, Hamstrings, Core","Posture Issues, Stress, Anxiety, Neck Pain"
7,Downward Dog,Basic/Intermediate,"Upper body strength, Relieves tension, Spine, Hamstrings","Shoulders, Hamstrings, Calves","Digestive Disorders, Stress, Anxiety, Fatigue"
8,Intense Side Stretch,Intermediate/Advanced,"Stretching, Hamstrings, Calves, Balance, Focus","Hamstrings, Groins, Shoulders","Digestive Disorders, Balance Issues, Anxiety"
9,Half Moon,Advanced,"Strengthening, Legs, Core, Coordination, Balance","Ankles, Knees, Hips, Shoulders","Balance Issues, Fatigue, Anxiety, Coordination"
10,Extended Triangle,Basic/Intermediate,"Stretching, Hips, Groins, Hamstrings, Abdominal organs","Hips, Hamstrings, Shoulders","Anxiety, Stress, Balance Issues, Fatigue"
11,Extended Side Angle,Intermediate,"Strengthening, Legs, Knees, Ankles, Stretching, Groins, Spine, Waist, Chest, Shoulders","Hips, Groins, Shoulders, Chest","Digestive Disorders, Anxiety, Stress, Balance Issues"
12,Gate,Intermediate,"Stretching, Sides of the body, Flexibility, Spine, Shoulders","Hips, Shoulders, Spine, Knees","Anxiety, Stress, Balance Issues, Posture Issues"
13,Warrior I,Basic,"Strengthening, Legs, Arms, Shoulders, Balance, Stability","Hips, Knees, Ankles, Shoulders","Balance Issues, Anxiety, Self-Esteem, Fatigue"
14,Reverse Warrior,Basic/Intermediate,"Stretching, Side body, Intercostal muscles, Strengthening Legs, Arms, and shoulders","Hips, Groins, Shoulders","Mental Clarity, Anxiety, Balance Issues, Fatigue"
15,Low Lunge,Basic,"Stretches hip flexors, hamstrings, and quadriceps
 Improves hip mobility and flexibility","Hips, Quadriceps, Ankles","Lower Back Pain, Posture Issues, Anxiety, Stress"
16,Warrior II,Basic,"Strengthens legs, arms, and shoulders
 Improves concentration and focus","Hips, Knees, Ankles, Shoulders","Concentration, Fatigue, Balance Issues, Anxiety"
17,Warrior III,Intermediate,"Strengthens legs, ankles, and core muscles
 Improves balance and coordination","Hips, Hamstrings, Ankles, Core","Mental Resilience, Balance Issues, Anxiety, Fatigue"
18,Lord of Dance,Intermediate/Advanced,"Improves balance and focus
 Stretches thighs, groin, abdomen, shoulders, and chest","Hips, Quadriceps, Shoulders","Balance Issues, Concentration, Anxiety, Stress"
19,Standing Big-Toe Hold,Intermediate/Advanced,"Improves balance and focus
 Stretches hamstrings and calves","Hips, Hamstrings, Ankles","Balance Issues, Lower Back Pain, Anxiety, Fatigue"
20,Standing Split,Advanced,"Stretches hamstrings, calves, and hip flexors
 Improves balance and leg strength"," Hamstrings, Calves, Hips","Anxiety, Stress, Balance Issues, Fatigue"
21,Easy Sitting,Basic,"Promotes relaxation and stress relief
 Improves posture and spine alignment","Hips, Spine, Hamstrings","Fatigue, Stress, Lower Back Pain, Anxiety"
22,Cobbler,Basic,"Opens the hips and groin
 Stimulates abdominal organs, aiding digestion","Hips, Groins, Lower Back","Digestive Disorders, Menstrual Issues, Anxiety, Stress"
23,Garland,Basic,"Stretches the ankles, groins, and back
 Strengthens the legs and opens the hips","Hips, Ankles, Lower Back","Lower Back Pain, Sciatica, Digestive Disorders, Anxiety"
24,Staff,Basic,"Improves posture and strengthens the back muscles
 Stretches the hamstrings and calves","Hips, Knees, Spine","Posture Issues, Lower Back Pain, Fatigue, Anxiety"
25,Noose,Advanced,"Stretches the shoulders, chest, and spine
 Improves mobility in the shoulders and chest","Neck, Shoulders, Hips, Knees","Neck Pain, Stress, Anxiety, Circulatory Disorders"
26,Cow Face,Intermediate,"Stretches the hips, thighs, and shoulders
 Improves posture and spine flexibility","Shoulders, Hips, Ankles","Posture Issues, Neck Pain, Upper Back Pain, Anxiety"
